actorId,name,isFemale,categoryType,voiceAge,languageName,countryName,audioSampleLink
1,Sonia,True,Premium,Middle Aged,English (United Kingdom),United Kingdom,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/5a031e3a-0ac2-4110-a441-9b35184cda41.mp3
2,Libby,True,Premium,Middle Aged,English (United Kingdom),United Kingdom,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/dc932e1b-0591-483f-85dd-253e84428da7.mp3
3,Ryan,False,Premium,Middle Aged,English (United Kingdom),United Kingdom,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/fe31c794-cac6-45e7-b5a3-df9ce993d165.mp3
4,Jenny,True,,,English (United States),United States,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/0c69c677-ca5b-4047-b574-71976eeafb80.mp3
5,Guy,False,Premium,Middle Aged,English (United States),United States,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/ad185cd6-93f7-48de-a79a-d2c1ba881ff5.mp3
6,Aria,True,Premium,Middle Aged,English (United States),United States,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/45d005a3-8596-49ab-8a76-e8ff906d359b.mp3
7,Natasha,True,Premium,Middle Aged,English (Australia),Australia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/4a30a2bb-04dd-41a7-8beb-657892772456.mp3
8,William,False,Premium,Middle Aged,English (Australia),Australia,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/8e09030f-1c27-4acd-8651-d0ae3ee8055e.mp3
9,Clara,True,Premium,Middle Aged,English (Canada),Canada,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/dd9d26cd-95e3-42d9-aaa4-189a5c2492be.mp3
10,Liam,False,Premium,Middle Aged,English (Canada),Canada,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/3a0bd6a0-feec-4fba-ad40-3854019c3620.mp3
11,Connor,False,,,English (Ireland),Ireland,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/4ffefda0-b4d2-411e-9c05-f15bafaa60b0.mp3
12,Emily,True,Premium,Youth,English (Ireland),Ireland,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/36383820-6395-4ad9-9f97-d2a6e6d867b6.mp3
13,Neerja,True,Premium,Middle Aged,English (India),India,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/35009879-cbad-43b7-8686-184ce91fb20a.mp3
14,Prabhat,False,Premium,Elder,English (India),India,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/8a365f98-e90b-49ae-aa10-186c249b632f.mp3
15,Antonio,False,Premium,Middle Aged,Portuguese (Brazil),Brazil,https://d9f35555a8b3e9044c8d-95c21efaab8093d23d4124e599a618ee.ssl.cf5.rackcdn.com/synthesys-v2/VoiceActorSamples/a55e175e-7641-4fb6-a018-7d0a725e87fa.mp3
